Species,FunctionalGroup,Duration,Lifeform,Pathway,Taxon,Specid,5Lspecid,Origin,ITISTaxon,ITISRecognizedName,Family,CountSpecies,Comment
Gnaphalium obtusifolium,F,Biennial,Non-legume forb,C3,528,Gnapobtu,Gnaob,Native,36694,Gnaphalium obtusifolium,Asteraceae,Y,
Gnaphalium sp.,F,Biennial,Non-legume forb,C3,641,Gnaphasp,Gnasp,Unknown,,,Asteraceae,Y,
Gnaphalium uliginosum,,,,,1033,,,,,,,,
Grass seedlings,O,,,,807,Grasseed,Grase,Unknown,,,,Y,
Grasses,G,,Grass,,920,Grasses,Grass,Unknown,,,Poaceae,Y,
Green matter (alive),,,,,800,Greematt,Grema,Unknown,,,,N,
Gymnocarpium dryopteris,O,Perennial,,C3,17,Gymndryo,Gymdr,Native,17579,Gymnocarpium dryopteris,Aspleniaceae,Y,
Habenaria lacera,F,Perennial,Non-legume forb,C3,747,Habelace,Habla,Native,43401,Habenaria lacera,Orchidaceae,Y,
Hackelia americana,,,,,1034,,,,,,,,
Hedeoma hispida,F,Annual,Non-legume forb,C3,529,Hedehisp,Hedhi,Native,502890,Hedeoma hispida,Lamiaceae,Y,
Helenium autumnale,F,Perennial,Non-legume forb,C3,728,Heleautu,Helau,Native,36006,Helenium autumnale,Asteraceae,Y,
Helianthemum bicknellii,F,Perennial,Non-legume forb,C3,530,Helibick,Helbi,Native,22259,Helianthemum bicknellii,Cistaceae,Y,
Helianthus giganteus,F,Perennial,Non-legume forb,C3,653,Heligiga,Helgi,Native,36612,Helianthus giganteus,Asteraceae,Y,
Helianthus hirsutus,F,Perennial,Non-legume forb,C3,584,Helihirs,Helhi,Native,36646,Helianthus hirsutus,Asteraceae,Y,
Helianthus laetiflorus,F,Perennial,Non-legume forb,C3,531,Helilaet,Hella,Native,502924,Helianthus laetiflorus,Asteraceae,Y,
Helianthus petiolaris,F,Annual,Non-legume forb,C3,729,Helipeti,Helpe,Native,36671,Helianthus petiolaris,Asteraceae,Y,
Helianthus sp.,F,Perennial,Non-legume forb,C3,585,Heliansp,Helsp,Unknown,,,Asteraceae,Y,
Heliopsis helianthoides,F,Perennial,Non-legume forb,C3,730,Heliheli,Helhe,Native,37605,Heliopsis helianthoides,Asteraceae,Y,
Heuchera richardsonii,F,Perennial,Non-legume forb,C3,731,Heucrich,Heuri,Native,24372,Heuchera richardsonii,Saxifragaceae,Y,
Hieracium aurantiacum,F,,Non-legume forb,C3,769,Hieraura,Hieau,Introduced,37697,Hieracium aurantiacum,Asteraceae,Y,
Hieracium kalmii,F,Perennial,Non-legume forb,C3,675,Hierkalm,Hieka,Native,503023,Hieracium kalmii,Asteraceae,Y,
Hieracium longipilum,F,Biennial,Non-legume forb,C3,607,Hierlong,Hielo,Native,37714,Hieracium longipilum,Asteraceae,Y,
Hieracium sp.,F,Biennial,Non-legume forb,C3,612,Hieracsp,Hiesp,Unknown,,,Asteraceae,Y,
Hierochloe odorata,C3,Perennial,Grass,C3,158,Hierodor,Hieod,Native,565874,Hierochloe odorata,Poaceae,Y,
Houstonia longifolia,F,Perennial,Non-legume forb,C3,732,Houslong,Houlo,Native,35045,Houstonia longifolia,Rubiaceae,Y,
Hypericum majus,F,Annual,Non-legume forb,C3,684,Hypemaju,Hypma,Native,21446,Hypericum majus,Clusiaceae,Y,
Hypoxis hirsuta,F,Perennial,Non-legume forb,C4,532,Hypohirs,Hyphi,Native,503146,Hypoxis hirsuta,Lilliaceae,Y,
Ilex sp.,W,Perennial,Woody,C3,369,Ilexsp,Ilesp,Unknown,,,Aquifoliaceae,Y,
Ilex verticillata,W,Perennial,Woody,C3,346,Ilexvert,Ileve,Native,27985,Ilex verticillata,Aquifoliaceae,Y,
Impatiens capensis,F,,Non-legume forb,C3,685,Impacape,Impca,Native,29182,Impatiens capensis,Balsaminaceae,Y,
Introduced,,,,,999,Introdu,Intro,Introduced,,,,Y,
Iris versicolor,F,Perennial,Non-legume forb,C3,712,Irisvers,Irive,Native,43196,Iris versicolor,Iridaceae,Y,
Juncus sp.,S,Perennial,Sedge,C3,240,Juncussp,Junsp,Unknown,,,Cyperaceae,Y,
Juncus tenuis,S,Perennial,Sedge,C3,241,Junctenu,Junte,Native,39243,Juncus tenuis,Cyperaceae,Y,
Juniperus communis,W,Perennial,Woody,C3,347,Junicomm,Junco,Native,194820,Juniperus communis,Cupressaceae,Y,
Juniperus sp.,W,Perennial,Woody,C3,373,Junipesp,Junsp,Unknown,,,Cupressaceae,Y,
Juniperus virginiana,W,Perennial,Woody,C3,372,Junivirg,Junvi,Native,18048,Juniperus virginiana,Cupressaceae,Y,
Koeleria cristata,C3,Perennial,Grass,C3,145,Koelcris,Koecr,Native,515476,Koeleria cristata,Poaceae,Y,
Krigia biflora,F,Perennial,Non-legume forb,C3,780,Krigbifl,Kribi,Native,37810,Krigia biflora,Asteraceae,Y,
Lactuca biennis,F,Biennial,Non-legume forb,C3,671,Lactbien,Lacbi,Native,36597,Lactuca biennis,Asteraceae,Y,
Lactuca canadensis,F,Biennial,Non-legume forb,C3,534,Lactcana,Lacca,Native,36596,Lactuca canadensis,Asteraceae,Y,
Lactuca serriola (scariola),F,Biennial,Non-legume forb,C3,615,Lactserr,Lacse,Introduced,36608,Lactuca serriola,Asteraceae,Y,
Lactuca sp.,F,Biennial,Non-legume forb,C3,634,Lactucsp,Lacsp,Unknown,,,Asteraceae,Y,
Larix laricina,W,Perennial,Woody,C3,380,Larilari,Larla,Native,,,,Y,
Lathyrus ochroleucus,,,,,1035,,,,,,,,
Lathyrus venosus,L,Perennial,Legume,C3,402,Lathveno,Latve,Native,25886,Lathyrus venosus,Fabaceae,Y,
Leaves,,,,,804,Leaves,Leave,Unknown,,,,N,
Lechea stricta,F,Perennial,Non-legume forb,C3,535,Lechstri,Lecst,Native,22297,Lechea stricta,Cistaceae,Y,
Leersia oryzoides,C3,Perennial,Grass,C3,146,Leeroryz,Leeor,Native,40886,Leersia oryzoides,Poaceae,Y,
Lemna sp.,F,,Non-legume forb,C3,755,Lemnasp,Lemsp,Unknown,,,Lemnaceae,Y,
Lepidium densiflorum,F,Annual,Non-legume forb,C3,536,Lepidens,Lepde,Native,22960,Lepidium densiflorum,Brassicaceae,Y,
Lepidium sp.,F,,Non-legume forb,C3,758,Lepidisp,Lepsp,Unknown,,,Brassicaceae,Y,
Lepidium virginicum,F,Annual,Non-legume forb,C3,537,Lepivirg,Lepvi,Native,22955,Lepidium virginicum,Brassicaceae,Y,
Leptoloma cognatum,C4,Perennial,Grass,C4,168,Leptcogn,Lepco,Native,41830,Leptoloma cognatum,Poaceae,Y,
Lespedeza capitata,L,Perennial,Legume,C3,403,Lespcapi,Lesca,Native,25897,Lespedeza capitata,Fabaceae,Y,
Liatris aspera,F,Perennial,Non-legume forb,C3,538,Liataspe,Liaas,Native,37909,Liatris aspera,Asteraceae,Y,
Liatris ligulistylis,F,Perennial,Non-legume forb,C3,733,Liatligu,Liali,Native,37929,Liatris ligulistylis,Asteraceae,Y,
Liatris pycnostachya,F,Perennial,Non-legume forb,C3,734,Liatpycn,Liapy,Native,37937,Liatris pycnostachya,Asteraceae,Y,
Lichens,,,,,96,Lichens,Liche,Unknown,,,,N,
Liliaceae unknown,,,,,1036,,,,,,,,
Linaria vulgaris,F,Perennial,Non-legume forb,C3,636,Linavulg,Linvu,Introduced,33216,Linaria vulgaris,Scrophulariaceae,Y,
Lithospermum canescens,F,Perennial,Non-legume forb,C3,539,Lithcane,Litca,Native,31945,Lithospermum canescens,Boraginaceae,Y,
Lithospermum caroliniense,F,Perennial,Non-legume forb,C3,540,Lithcaro,Litca,Native,31946,Lithospermum caroliniense,Boraginaceae,Y,
Lithospermum sp.,F,Perennial,Non-legume forb,C3,620,Lithossp,Litsp,Unknown,,,Boraginaceae,Y,
Lobelia siphilitica,F,Perennial,Non-legume forb,C3,735,Lobesiph,Lobsi,Native,34531,Lobelia siphilitica,Campanulaceae,Y,
Lobelia spicata,F,Perennial,Non-legume forb,C3,628,Lobespic,Lobsp,Native,34532,Lobelia spicata,Campanulaceae,Y,
Lolium multiflorum,C3,Annual,Grass,C3,173,Lolimult,Lolmu,Introduced,40892,Lolium multiflorum,Poaceae,Y,
Lonicera dioica,W,Perennial,Woody,C3,378,Lonidioi,Londi,Native,35290,Lonicera dioica,Caprifoliaceae,Y,
Lonicera tatarica,W,Perennial,Woody,C3,343,Lonitata,Lonta,Introduced,35306,Lonicera tatarica,Caprifoliaceae,Y,
Ludwigia polycarpa,F,,Non-legume forb,C3,756,Ludwpoly,Ludpo,Native,27361,Ludwigia polycarpa,Onagraceae,Y,
Lupinus perennis,L,Perennial,Legume,C3,417,Lupipere,Luppe,Native,26091,Lupinus perennis,Fabaceae,Y,
Lupinus sp.,L,,Legume,C3,420,Lupinusp,Lupsp,Unknown,,,Fabaceae,Y,
Lychnis alba,F,Perennial,Non-legume forb,C3,541,Lychalba,Lycal,Introduced,516470,Lychnis alba,Caryophyllaceae,Y,
Lycopodium complanatum,,,,,1037,,,,,,,,
Lycopus americana,F,Perennial,Non-legume forb,C3,686,Lycoamer,Lycam,Native,32254,Lycopus americanus,Lamiaceae,Y,
Lycopus sp.,F,Perennial,Non-legume forb,C3,746,Lycopusp,Lycsp,Unknown,,,Lamiaceae,Y,
Lycopus uniflorus,F,Perennial,Non-legume forb,C3,688,Lycounif,Lycun,Native,32257,Lycopus uniflorus,Lamiaceae,Y,
Lysimachia ciliata,F,Perennial,Non-legume forb,C3,704,Lysicili,Lysci,Native,23984,Lysimachia ciliata,Primulaceae,Y,
Lysimachia thyrsiflora,F,Perennial,Non-legume forb,C3,689,Lysithyr,Lysth,Native,24000,Lysimachia thyrsiflora,Primulaceae,Y,
Maianthemum canadense,F,Perennial,Non-legume forb,C3,703,Maiacana,Maica,Native,503653,Maianthemum canadense,Lilliaceae,Y,
Man made object,,,,,1022,,,,,,,,
Medicago lupulina,L,Annual,Legume,C3,414,Medilupu,Medlu,Introduced,503721,Medicago lupulina,Fabaceae,Y,
Medicago sativa,L,Perennial,Legume,C3,419,Medisati,Medsa,Introduced,183623,Medicago sativa,Fabaceae,Y,
Medicago sp.,L,,Legume,C3,422,Medicasp,Medsp,Introduced,,,Fabaceae,Y,
Melilotus alba,L,Biennial,Legume,C3,587,Melialba,Melal,Introduced,26149,Melilotus alba,Fabaceae,Y,
Melilotus officinalis,L,Biennial,Legume,C3,588,Melioffi,Melof,Introduced,26150,Melilotus officinalis,Fabaceae,Y,
Melilotus sp.,L,Biennial,Legume,C3,589,Melilosp,Melsp,Introduced,,,Fabaceae,Y,
Mimulus ringens,F,Perennial,Non-legume forb,C3,760,Mimuring,Mimri,Native,33235,Mimulus ringens,Scrophulariaceae,Y,
Mirabilis hirsuta,F,Perennial,Non-legume forb,C3,683,Mirahirs,Mirhi,Native,19647,Mirabilis hirsuta,Nyctaginaceae,Y,
Mirabilis nyctaginea,F,Perennial,Non-legume forb,C3,776,Miranyct,Mirny,Native,19655,Mirabilis nyctaginea,Nyctaginaceae,Y,
Miscellaneous forb,F,Perennial,Non-legume forb,C3,787,Miscforb,Misfo,Unknown,,,Fabaceae,Y,
Miscellaneous grasses,G,,Grass,Cx,199,Miscgras,Misgr,Unknown,,,Poaceae,Y,
Miscellaneous grasses 2,G,,Grass,Cx,197,Miscgra2,Misg2,Unknown,,,Poaceae,Y,
Miscellaneous herbs,F,,Non-legume forb,,699,Mischerb,Mishe,Unknown,,,,Y,
Miscellaneous herbs 2,F,,Non-legume forb,,786,Mischer2,Mish2,Unknown,,,,Y,
Miscellaneous legumes,L,,Legume,C3,499,Misclegu,Misle,Unknown,,,Fabaceae,Y,
Miscellaneous litter,,,,,99,Misclitt,Misli,Unknown,,,,N,
Miscellaneous rushes,S,,Sedge,Cx,198,Miscrush,Misru,Unknown,,,Cyperaceae,Y,
Miscellaneous sedges,S,,Sedge,Cx,299,Miscsedg,Misse,Unknown,,,Cyperaceae,Y,
Miscellaneous sp.,,,,,98,Miscelsp,Missp,Unknown,,,,Y,
Miscellaneous woody plants,W,Perennial,Woody,C3,399,Miscwood,Miswo,Unknown,,,,Y,
Mollugo verticillata,F,Annual,Non-legume forb,C4,590,Mollvert,Molve,Introduced,19899,Mollugo verticillata,Molluginaceae,Y,
Monarda fistulosa,F,Perennial,Non-legume forb,C3,533,Monafist,Monfi,Native,565311,Monarda fistulosa,Lamiaceae,Y,
Monarda punctata,F,Perennial,Non-legume forb,C3,736,Monapunc,Monpu,Native,32279,Monarda punctata,Lamiaceae,Y,
Mosses,,,,,95,Mosses,Mosse,Unknown,,,,N,
Mosses & lichens,O,,,,3,Mosslich,Mosli,Unknown,,,,N,
Mosses & lichens 2,O,,,,2,Mosslic2,Mosl2,Unknown,,,,N,
Muhlenbergia racemosa,C4,Perennial,Grass,C4,128,Muhlrace,Muhra,Native,41935,Muhlenbergia racemosa,Poaceae,Y,
Native,,,,,992,Native,Nativ,Native,,,,Y,
Nepeta cataria,F,Perennial,Non-legume forb,C3,672,Nepecata,Nepca,Introduced,32623,Nepeta cataria,Lamiaceae,Y,
Non-vascular,,,,,906,Nonvascu,Nonva,Unknown,,,,N,
Oenothera biennis,F,Biennial,Non-legume forb,C3,542,Oenobien,Oenbi,Native,27368,Oenothera biennis,Onagraceae,Y,
Oenothera parviflora,F,Biennial,Non-legume forb,C3,629,Oenoparv,Oenpa,Native,504007,Oenothera parviflora,Onagraceae,Y,
Oenothera rhombipetala,F,Biennial,Non-legume forb,C3,633,Oenorhom,Oenrh,Native,565330,Oenothera rhombipetala,Onagraceae,Y,
Oenothera sp.,F,Biennial,Non-legume forb,C3,637,Oenothsp,Oensp,Unknown,,,Onagraceae,Y,
Onoclea sensibilis,O,Perennial,,C3,9,Onocsens,Onose,Native,17637,Onoclea sensibilis,Aspleniaceae,Y,
Osmunda cinnamomea,O,Perennial,,C3,10,Osmucinn,Osmci,Native,17219,Osmunda cinnamomea,Osmundaceae,Y,
Osmunda claytonii,O,Perennial,,C3,11,Osmuclay,Osmcl,Native,17220,Osmunda claytoniana,Osmundaceae,Y,
Osmunda regalis,O,Perennial,,C3,12,Osmurega,Osmre,Native,17218,Osmunda regalis,Osmundaceae,Y,
Oxalis sp.,F,Perennial,Non-legume forb,C3,640,Oxalissp,Oxasp,Unknown,,,Oxalidaceae,Y,
Oxalis stricta,F,Perennial,Non-legume forb,C3,631,Oxalstri,Oxast,Native,29095,Oxalis stricta,Oxalidaceae,Y,
Oxybaphus hirsutus,F,Perennial,Non-legume forb,C3,592,Oxybhirs,Oxyhi,Native,518054,Oxybaphus hirsutus,Nyctaginaceae,Y,
Oxybaphus nyctaginea,F,Perennial,Non-legume forb,C3,778,Oxybnyct,Oxyny,Native,19655,Mirabilis nyctaginea,Nyctaginaceae,Y,
Panicum capillare,C4,Annual,Grass,C4,109,Panicapi,Panca,Native,40914,Panicum capillare,Poaceae,Y,
Panicum lanuginosum,C3,Perennial,Grass,C3,110,Panilanu,Panla,Native,565867,Panicum lanuginosum,Poaceae,Y,
Panicum leibergi,C3,Perennial,Grass,C3,141,Panileib,Panle,Native,518307,Panicum leibergii,Poaceae,Y,
Panicum miliaceum,G,Annual,Grass,Cx,160,Panimili,Panmi,Introduced,40946,Panicum miliaceum,Poaceae,Y,
Panicum oligosanthes,C3,Perennial,Grass,C3,111,Paniolig,Panol,Native,40912,Panicum oligosanthes,Poaceae,Y,
Panicum perlongum,C3,Perennial,Grass,C3,112,Paniperl,Panpe,Native,518351,Panicum perlongum,Poaceae,Y,
Panicum praecocious,C3,Perennial,Grass,C3,113,Paniprae,Panpr,Native,518358,Panicum praecocius,Poaceae,Y,
Panicum sp.,G,Perennial,Grass,Cx,131,Panicusp,Pansp,Native,,,Poaceae,Y,
Panicum virgatum,C4,Perennial,Grass,C4,114,Panivirg,Panvi,Native,40913,Panicum virgatum,Poaceae,Y,
Parietaria pensylvanica,,,,,1038,,,,,,,,
Parthenocissus inserta,W,Perennial,Woody,C3,306,Partinse,Parin,Native,518483,Parthenocissus inserta,Vitaceae,Y,
Parthenocissus quinquefolia,,,,,1039,,,,,,,,
Parthenocissus sp.,W,Perennial,Woody,C3,345,Parthesp,Parsp,Native,,,Vitaceae,Y,
Parthenocissus vitacea,,,,,1008,,,,,,,,
Paspalum ciliatifolium,C4,Perennial,Grass,C4,159,Paspcili,Pasci,Native,40991,Paspalum ciliatifolium,Poaceae,Y,
Pedicularis canadensis,F,,Non-legume forb,C3,750,Pedicana,Pedca,Native,33362,Pedicularis canadensis,Scrophulariaceae,Y,
Pedicularis sp.,F,Perennial,Non-legume forb,C3,666,Pedicusp,Pedsp,Unknown,,,Scrophulariaceae,Y,
Penstemon digitalis,F,Perennial,Non-legume forb,C3,737,Pensdigi,Pendi,Native,33881,Penstemon digitalis,Scrophulariaceae,Y,
Penstemon gracilis,F,Perennial,Non-legume forb,C3,543,Pensgrac,Pengr,Native,33909,Penstemon gracilis,Scrophulariaceae,Y,
Penstemon grandiflorus,F,Perennial,Non-legume forb,C3,544,Pensgran,Pengr,Native,33912,Penstemon grandiflorus,Scrophulariaceae,Y,
Penstemon sp.,F,Perennial,Non-legume forb,C3,759,Penstesp,Pensp,Unknown,,,Scrophulariaceae,Y,
Penthorum sedoides,F,Perennial,Non-legume forb,C3,614,Pentsedo,Pense,Native,504241,Penthorum sedoides,Crassulaceae,Y,
Perennials,,Perennial,,,984,Perenni,Peren,Unknown,,,,Y,
Permanently unassigned,,,,,998,Permunas,Perun,Unknown,,,,Y,
Petalostemum candidum,L,Perennial,Legume,C3,651,Petacand,Petca,Native,26603,Dalea candida,Fabaceae,Y,
Petalostemum purpureum,L,Perennial,Legume,C3,652,Petapurp,Petpu,Native,26642,Dalea purpurea,Fabaceae,Y,
Petalostemum sp.,L,Perennial,Legume,C3,418,Petalosp,Petsp,Native,,,Fabaceae,Y,
Petalostemum villosum,L,Perennial,Legume,C3,416,Petavill,Petvi,Native,26653,Dalea villosa,Fabaceae,Y,
Phalaris arundinacea,C3,Perennial,Grass,C3,115,Phalarun,Phaar,Native and/or Introduced,41335,Phalaris arundinacea,Poaceae,Y,
Phleum pratense,C3,Perennial,Grass,C3,116,Phleprat,Phlpr,Introduced,41062,Phleum pratense,Poaceae,Y,
Phlox paniculata,F,Perennial,Non-legume forb,C3,762,Phlopani,Phlpa,Introduced,30973,Phlox paniculata,Polemoniaceae,Y,
Phlox pilosa,F,Perennial,Non-legume forb,C3,593,Phlopilo,Phlpi,Native,30974,Phlox pilosa,Polemoniaceae,Y,
Phlox sp.,F,Perennial,Non-legume forb,C3,545,Phloxsp,Phlsp,Unknown,,,Polemoniaceae,Y,
Phryma leptostachya,F,Perennial,Non-legume forb,C3,785,Phrylept,Phrle,Native,504348,Phryma leptostachya,Phrymaceae,Y,
Physalis heterophylla,F,Perennial,Non-legume forb,C3,594,Physhete,Phyhe,Native,30601,Physalis heterophylla,Solanaceae,Y,
Physalis sp.,F,Perennial,Non-legume forb,C3,642,Physalsp,Physp,Unknown,,,Solanaceae,Y,
Physalis virginiana,F,Perennial,Non-legume forb,C3,546,Physvirg,Phyvi,Native,30612,Physalis virginiana,Solanaceae,Y,
Picea sp.,W,Perennial,Woody,C3,361,Piceasp,Picsp,Unknown,,,Pinaceae,Y,
Pilea pumila,F,Annual,Non-legume forb,C3,690,Pilepumi,Pilpu,Native,19130,Pilea pumila,Urticaceae,Y,
Pine cones,,,,,93,Pinecone,Pinco,Unknown,,,,N,
Pine needles,,,,,94,Pineneed,Pinne,Unknown,,,,N,
Pinus banksiana,W,Perennial,Woody,C3,365,Pinubank,Pinba,Native,183319,Pinus banksiana,Pinaceae,Y,
Pinus resinosa,W,Perennial,Woody,C3,374,Pinuresi,Pinre,Native,183375,Pinus resinosa,Pinaceae,Y,
Pinus sp.,W,Perennial,Woody,C3,355,Pinussp,Pinsp,Unknown,,,Pinaceae,Y,
Pinus strobus,W,Perennial,Woody,C3,323,Pinustro,Pinst,Native,183385,Pinus strobus,Pinaceae,Y,
Plantago (purshii) patagonica,F,Annual,Non-legume forb,C3,638,Planpurs,Plapu,Native,32907,Plantago patagonica,Plantaginaceae,Y,
Plantago lanceolata,F,Perennial,Non-legume forb,C3,595,Planlanc,Plala,Introduced,32874,Plantago lanceolata,Plantaginaceae,Y,
Plantago major,,,,,1040,,,,,,,,
Poa compressa,C3,Perennial,Grass,C3,143,Poacompr,Poaco,Introduced,41082,Poa compressa,Poaceae,Y,
Poa palustris,C3,Perennial,Grass,C3,148,Poapalus,Poapa,Native,41151,Poa palustris,Poaceae,Y,
Poa pratensis,C3,Perennial,Grass,C3,117,Poaprate,Poapr,Native and/or Introduced,41088,Poa pratensis,Poaceae,Y,
Poa sp.,C3,Perennial,Grass,C3,132,Poasp,Poasp,Unknown,,,Poaceae,Y,
Polygala polygama,F,Biennial,Non-legume forb,C3,547,Polypoly,Polpo,Native,29308,Polygala polygama,Polygalaceae,Y,
Polygala sanquinea,,,,,1011,,,,,,,,
Polygala sp.,F,Perennial,Non-legume forb,C3,777,Polygasp,Polsp,Unknown,,,Polygalaceae,Y,
Polygonatum biflorum,F,Perennial,Non-legume forb,C3,1041,Polygbif,Polbi,,,,,,
Polygonatum canaliculatum,F,Perennial,Non-legume forb,C3,658,Polycana,Polca,Native,519344,Polygonatum canaliculatum,Lilliaceae,Y,
Polygonatum sp.,F,Perennial,Non-legume forb,C3,661,Polygosp,Polsp,Unknown,,,Lilliaceae,Y,
Polygonella articulata,F,Annual,Non-legume forb,C3,591,Polyarti,Polar,Native,21308,Polygonella articulata,Polygonaceae,Y,
Polygonum amphibium,F,,Non-legume forb,C3,691,Polyamph,Polam,Native,20865,Polygonum amphibium,Polygonaceae,Y,
Polygonum arifolium,F,Annual,Non-legume forb,C3,713,Polyarif,Polar,Native,20849,Polygonum arifolium,Polygonaceae,Y,
Polygonum cilinode,F,Perennial,Non-legume forb,C3,775,Polycili,Polci,Native,20887,Polygonum cilinode,Polygonaceae,Y,
Polygonum convolvulus,F,Annual,Non-legume forb,C3,548,Polyconv,Polco,Introduced,20853,Polygonum convolvulus,Polygonaceae,Y,
Polygonum hydropiper,F,Annual,Non-legume forb,C3,753,Polyhydr,Polhy,Introduced,20856,Polygonum hydropiper,Polygonaceae,Y,
Polygonum lapathafolium,F,Annual,Non-legume forb,C3,714,Polylapa,Polla,Native,20860,Polygonum lapathifolium,Polygonaceae,Y,
Polygonum pensylvanicum,F,Annual,Non-legume forb,C3,596,Polypens,Polpe,Native,20861,Polygonum pensylvanicum,Polygonaceae,Y,
Polygonum persicaria,F,Annual,Non-legume forb,C3,608,Polypers,Polpe,Introduced,20915,Polygonum persicaria,Polygonaceae,Y,
Polygonum sagittatum,F,Annual,Non-legume forb,C3,692,Polysagi,Polsa,Native,20863,Polygonum sagittatum,Polygonaceae,Y,
Polygonum scandens,F,Annual,Non-legume forb,C3,659,Polyscan,Polsc,Native,20924,Polygonum scandens,Polygonaceae,Y,
Polygonum sp.,F,Annual,Non-legume forb,C3,624,Polygsp2,Polsp,Unknown,,,Polygonaceae,Y,
Polygonum tenue,F,Annual,Non-legume forb,C3,597,Polytenu,Polte,Native,20929,Polygonum tenue,Polygonaceae,Y,
Polytricum sp.,O,,,C3,5,Polytrsp,Polsp,Unknown,,,Polytrichaceae,Y,
Populus balsamifera,W,Perennial,Woody,C3,371,Popubals,Popba,Native,22453,Populus balsamifera,Salicaceae,Y,
Populus deltoides,W,Perennial,Woody,C3,307,Popudelt,Popde,Native,22445,Populus deltoides,Salicaceae,Y,
Populus grandidentata,W,Perennial,Woody,C3,333,Popugran,Popgr,Native,22463,Populus grandidentata,Salicaceae,Y,
Populus tremuloides,W,Perennial,Woody,C3,326,Poputrem,Poptr,Native,195773,Populus tremuloides,Salicaceae,Y,
Portulaca oleracea,F,Annual,Non-legume forb,Cx,771,Portoler,Porol,Introduced,20422,Portulaca oleracea,Portulacaceae,Y,
Potentilla argentea,F,Perennial,Non-legume forb,C3,598,Potearge,Potar,Introduced,24691,Potentilla argentea,Rosaceae,Y,
Potentilla arguta,F,Perennial,Non-legume forb,C3,599,Poteargu,Potar,Native,24692,Potentilla arguta,Rosaceae,Y,
Potentilla norvegica,F,Biennial,Non-legume forb,C3,549,Potenorv,Potno,Native,24730,Potentilla norvegica,Rosaceae,Y,
Potentilla palustris,F,,Non-legume forb,C3,693,Potepalu,Potpa,Native,24676,Potentilla palustris,Rosaceae,Y,
Potentilla recta,F,Perennial,Non-legume forb,C3,550,Poterect,Potre,Introduced,24742,Potentilla recta,Rosaceae,Y,
Potentilla simplex,F,Perennial,Non-legume forb,C3,551,Potesimp,Potsi,Native,24751,Potentilla simplex,Rosaceae,Y,
Potentilla sp.,F,Perennial,Non-legume forb,C3,618,Potentsp,Potsp,Unknown,,,Rosaceae,Y,
Prenanthes alba,,,,,1042,,,,,,,,
Prenanthes racemosa,F,Perennial,Non-legume forb,C3,673,Prenrace,Prera,Native,38281,Prenanthes racemosa,Asteraceae,Y,
Prunella vulgaris,,,,,1043,,,,,,,,
Prunus americana,W,Perennial,Woody,C3,318,Prunamer,Pruam,Native,24763,Prunus americana,Rosaceae,Y,
Prunus pensylvanica,W,Perennial,Woody,C3,308,Prunpens,Prupe,Native,24799,Prunus pensylvanica,Rosaceae,Y,
Prunus pumila,W,Perennial,Woody,C3,309,Prunpumi,Prupu,Native,504625,Prunus pumila,Rosaceae,Y,
Prunus serotina,W,Perennial,Woody,C3,332,Prunsero,Pruse,Native,24764,Prunus serotina,Rosaceae,Y,
Prunus sp.,W,Perennial,Woody,C3,310,Prunussp,Prusp,Unknown,,,Rosaceae,Y,
Prunus virginiana,W,Perennial,Woody,C3,336,Prunvirg,Pruvi,Native,24806,Prunus virginiana,Rosaceae,Y,
Pteridium aquilinum,O,Perennial,,C3,4,Pteraqui,Pteaq,Native,17224,Pteridium aquilinum,Dennstaedtiaceae,Y,
Pycnanthemum virginianum,F,Perennial,Non-legume forb,C3,738,Pycnvirg,Pycvi,Native,32670,Pycnanthemum virginianum,Lamiaceae,Y,
Pyrola rotundifolia,F,Perennial,Non-legume forb,C3,784,Pyrorotu,Pyrro,Native,23762,Pyrola rotundifolia,Pyrolaceae,Y,
Pyrola sp.,F,Perennial,Non-legume forb,C3,670,Pyrolasp,Pyrsp,Unknown,,,Pyrolaceae,Y,
Pyrus malus,,,,,1044,,,,,,,,
Quercus alba,W,Perennial,Woody,C3,319,Queralba,Queal,Native,19290,Quercus alba,Fagaceae,Y,
Quercus borealis,W,Perennial,Woody,C3,300,Querbore,Quebo,Native,19303,Quercus borealis,Fagaceae,Y,
Quercus borealis-ellipsoidalis,W,Perennial,Woody,C3,328,Querbor2,Quebo,Native,,,Fagaceae,Y,
Quercus elipsoidalis grub,,,,,1006,,,,,,,,
Quercus ellipsoidalis,W,Perennial,Woody,C3,301,Querelli,Queel,Native,19327,Quercus ellipsoidalis,Fagaceae,Y,
Quercus macrocarpa,W,Perennial,Woody,C3,302,Quermacr,Quema,Native,19287,Quercus macrocarpa,Fagaceae,Y,
Quercus macrocarpa grub,,,,,1007,,,,,,,,
Quercus sp.,W,Perennial,Woody,C3,320,Quercusp,Quesp,Native,,,Fagaceae,Y,
Ranunculus rhomboideus,F,Perennial,Non-legume forb,C3,626,Ranurhom,Ranrh,Native,18643,Ranunculus rhomboideus,Ranunculaceae,Y,
Ratibida pinnata,F,Perennial,Non-legume forb,C3,739,Ratipinn,Ratpi,Native,38343,Ratibida pinnata,Asteraceae,Y,
Real Weeds,,,,,997,,,Unknown,,,,,"Used for Exp 141; 16 planted species are taxa 501, 100, 400, 102, 504, 510, 139, 105, 145, 403, 417, 416, 117, 103, 562, 120"
Reproductive stem,,,,,813,Reprstem,Repst,Unknown,,,,Y,
